"Country","Year","Total.Pop","Crude.BR","Crude.DR"
"Spain",1980,37491165,15.2,7.7
"Spain",1981,37758631,14.1,7.8
"Spain",1982,37986012,13.6,7.5
"Spain",1983,38171525,12.7,7.9
"Spain",1984,38330364,12.3,7.8
"Spain",1985,38469512,11.9,8.1
"Spain",1986,38584624,11.4,8
"Spain",1987,38684815,11,8
"Spain",1988,38766939,10.8,8.2
"Spain",1989,38827764,10.5,8.4
"Spain",1990,38867322,10.3,8.6
"Spain",1991,38966376,10.2,8.7
"Spain",1992,39157685,10.1,8.5
"Spain",1993,39361262,9.8,8.6
"Spain",1994,39549108,9.4,8.6
"Spain",1995,39724050,9.1,8.7
"Spain",1996,39889852,9.1,8.8
"Spain",1997,40057389,9.2,8.7
"Spain",1998,40223509,9.1,9
"Spain",1999,40386875,9.4,9.2
"Spain",2000,40567864,9.8,8.9
"Spain",2001,40850412,9.9,8.8
"Spain",2002,41431558,10.1,8.8
"Spain",2003,42187645,10.4,9.1
"Spain",2004,42921895,10.6,8.6
"Spain",2005,43653155,10.6,8.8
"Spain",2006,44397319,10.8,8.3
"Spain",2007,45226803,10.9,8.5
"Spain",2008,45954106,11.3,8.4
"Spain",2009,46362946,10.6,8.3
"Spain",2010,46576897,10.4,8.2
"Spain",2011,46742697,10.1,8.3
"Spain",2012,46773055,9.7,8.6
"Spain",2013,46620045,9.1,8.3
"Spain",2014,46480882,9.2,8.5
"Spain",2015,46444832,9,9.1
"Spain",2016,46484062,8.8,8.8
"Spain",2017,46593236,8.4,9.1
"Spain",2018,46797754,7.9,9.1
"Spain",2019,47134837,7.6,8.8
"Spain",2020,47365655,7.2,10.4
"Spain",2021,47415794,7.1,9.5
"Spain",2022,47778340,6.9,9.7
"Spain",2023,48373336,NA,NA
